A1,A2,A3,label
0.54302,0.56383,0.9891,2
0.55076,0.5689,0.98977,2
0.55875,0.57122,0.9897100000000001,2
0.5657300000000001,0.5707300000000001,0.9889399999999999,2
0.5707800000000001,0.5677,0.9877799999999999,2
0.57333,0.5626,0.98659,2
0.57308,0.5561,0.9856600000000001,2
0.57016,0.5491199999999999,0.98511,2
0.56509,0.54265,0.9849899999999999,2
0.55877,0.53769,0.9852700000000001,2
0.5522600000000001,0.53498,0.9858899999999999,2
0.5465899999999999,0.5349,0.9867799999999999,2
0.54259,0.5373100000000001,0.98782,2
0.54077,0.5416300000000001,0.98888,2
0.5412600000000001,0.54703,0.98987,2
0.5439,0.55261,0.9907,2
0.5482899999999999,0.55767,0.99134,2
0.55381,0.5616899999999999,0.9917799999999999,2
0.5597,0.56439,0.99205,2
0.56515,0.56565,0.9921700000000001,2
0.56944,0.56553,0.9921700000000001,2
0.57213,0.56419,0.9920899999999999,2
0.57309,0.56193,0.9919899999999999,2
0.57253,0.55917,0.9919,2
0.57099,0.55642,0.9918600000000001,2
0.56908,0.55416,0.99187,2
0.56742,0.55274,0.99193,2
0.56634,0.55223,0.9920100000000001,2
0.56583,0.55243,0.9920899999999999,2
0.5657800000000001,0.55309,0.9922,2
0.56604,0.55399,0.9923799999999999,2
0.5665100000000001,0.55494,0.99272,2
0.56708,0.55579,0.99321,2
0.5676899999999999,0.55647,0.9938299999999999,2
0.5682699999999999,0.557,0.9945299999999999,2
0.56876,0.55742,0.99526,2
0.5691,0.55777,0.9959600000000001,2
0.5692699999999999,0.55807,0.99656,2
0.56933,0.55829,0.9970399999999999,2
0.56938,0.5583899999999999,0.9973799999999999,2
0.56958,0.55837,0.99756,2
0.57006,0.5582699999999999,0.9976299999999999,2
0.57088,0.55815,0.9976,2
0.57201,0.55808,0.9975299999999999,2
0.57327,0.55807,0.9974700000000001,2
0.5744600000000001,0.55812,0.9975,2
0.57539,0.5581699999999999,0.9976700000000001,2
0.57593,0.5581699999999999,0.998,2
0.57608,0.55811,0.9985,2
0.57589,0.55805,0.99915,2
0.57548,0.55804,0.99989,2
0.57495,0.5581699999999999,1.0007,2
0.5744199999999999,0.5584600000000001,1.0014,2
0.57394,0.55891,1.0021,2
0.5735899999999999,0.55945,1.0027,2
0.57343,0.56002,1.003,2
0.57355,0.56052,1.0033,2
0.57399,0.56091,1.0034,2
0.57476,0.56117,1.0034,2
0.5757899999999999,0.5613199999999999,1.0034,2
0.57697,0.56139,1.0034,2
0.57814,0.5614,1.0035,2
0.57915,0.56137,1.0038,2
0.5799,0.5613100000000001,1.0042,2
0.58031,0.56126,1.0047,2
0.58039,0.56123,1.0054,2
0.58016,0.56128,1.0062,2
0.5796899999999999,0.56143,1.0070000000000001,2
0.57908,0.5617,1.0078,2
0.57843,0.5621,1.0085,2
0.57786,0.56262,1.0090000000000001,2
0.57749,0.5632199999999999,1.0095,2
0.5774100000000001,0.56385,1.0098,2
0.57768,0.56445,1.01,2
0.5783,0.56497,1.01,2
0.57922,0.56535,1.01,2
0.58033,0.56557,1.01,2
0.5815100000000001,0.56563,1.0101,2
0.58262,0.56555,1.0103,2
0.58353,0.56539,1.0107,2
0.58416,0.56518,1.0112,2
0.58445,0.565,1.0119,2
0.5844,0.5649,1.0127,2
0.58404,0.56493,1.0135,2
0.58344,0.56512,1.0143,2
0.58272,0.56548,1.0151,2
0.58201,0.56599,1.0157,2
0.58145,0.56663,1.0162,2
0.58115,0.56733,1.0166,2
0.5812,0.56803,1.0168,2
0.58163,0.56865,1.0169,2
0.58241,0.56913,1.0169,2
0.5834600000000001,0.56944,1.0169,2
0.58465,0.56957,1.0170000000000001,2
0.58585,0.5695399999999999,1.0172,2
0.58692,0.5694100000000001,1.0175,2
0.58775,0.56923,1.018,2
0.58829,0.56908,1.0186,2
0.58849,0.56901,1.0194,2
0.58837,0.56907,1.0203,2
0.588,0.56928,1.0211,2
0.58746,0.56965,1.0219,2
0.58685,0.57015,1.0226,2
0.58629,0.57072,1.0232,2
0.5859,0.5713199999999999,1.0236,2
0.5857600000000001,0.57187,1.0239,2
0.5859300000000001,0.57234,1.024,2
0.58639,0.57268,1.024,2
0.58712,0.5728800000000001,1.024,2
0.58804,0.57296,1.0241,2
0.58903,0.57295,1.0242,2
0.59001,0.5729,1.0245,2
0.59086,0.57287,1.025,2
0.59153,0.57292,1.0256,2
0.5919800000000001,0.57307,1.0264,2
0.59218,0.5733600000000001,1.0273,2
0.59217,0.57377,1.0282,2
0.5919800000000001,0.57428,1.0290000000000001,2
0.59168,0.57484,1.0298,2
0.59135,0.57539,1.0304,2
0.59105,0.57589,1.0309,2
0.5908800000000001,0.57629,1.0312,2
0.59087,0.57657,1.0314,2
0.59105,0.57673,1.0314,2
0.59143,0.57677,1.0314,2
0.59196,0.57673,1.0314,2
0.5926,0.5766600000000001,1.0315,2
0.5933,0.5766100000000001,1.0318,2
0.59399,0.5766399999999999,1.0322,2
0.59464,0.5767899999999999,1.0328,2
0.5952,0.57708,1.0335,2
0.59563,0.57752,1.0344,2
0.5959300000000001,0.57808,1.0353,2
0.5961,0.5787100000000001,1.0362,2
0.59615,0.5793699999999999,1.037,2
0.59611,0.57998,1.0377,2
0.59604,0.58049,1.0383,2
0.59597,0.58086,1.0387,2
0.5959399999999999,0.58108,1.0390000000000001,2
0.5959899999999999,0.58115,1.0391,2
0.59613,0.5811,1.0391,2
0.59636,0.58097,1.0391,2
0.59667,0.58082,1.0392,2
0.59707,0.5807100000000001,1.0393,2
0.59753,0.5807100000000001,1.0396,2
0.59804,0.5808399999999999,1.0401,2
0.59856,0.58114,1.0408,2
0.5990800000000001,0.5816,1.0416,2
0.59956,0.5822,1.0425,2
0.5999899999999999,0.5828899999999999,1.0434,2
0.60034,0.58362,1.0443,2
0.6006100000000001,0.5843,1.0451,2
0.6008,0.5848899999999999,1.0458,2
0.60093,0.58533,1.0464,2
0.601,0.5856,1.0467,2
0.60104,0.5856899999999999,1.0469,2
0.60107,0.58563,1.047,2
0.6011,0.5854600000000001,1.047,2
0.60117,0.58526,1.047,2
0.6013,0.58508,1.0471,2
0.6015199999999999,0.585,1.0473,2
0.6018399999999999,0.58506,1.0477,2
0.60225,0.5853,1.0482,2
0.60275,0.5857100000000001,1.0490000000000002,2
0.60331,0.58629,1.0498,2
0.60388,0.5869800000000001,1.0508,2
0.60443,0.58773,1.0517,2
0.60492,0.5884699999999999,1.0526,2
0.60533,0.58914,1.0534,2
0.60564,0.58968,1.054,2
0.60585,0.59004,1.0545,2
0.60596,0.59021,1.0548,2
0.6059899999999999,0.5902,1.055,2
0.606,0.5903,1.055,2
0.60835,0.59405,1.055,2
0.61839,0.60217,1.055,2
0.63963,0.61145,1.0548,2
0.67003,0.61861,1.0536,2
0.7033,0.6219600000000001,1.0511,2
0.73268,0.62115,1.0477,2
0.754,0.6169100000000001,1.0444,2
0.76648,0.61078,1.0424,2
0.7715,0.60477,1.0423,2
0.77099,0.60096,1.0438,2
0.76672,0.60144,1.0462,2
0.76044,0.60814,1.0486,2
0.7544,0.62262,1.0506,2
0.75145,0.64545,1.0521,2
0.75471,0.67578,1.0535,2
0.76651,0.71137,1.0547,2
0.7875300000000001,0.7492,1.0556,2
0.76547,0.76925,0.97372,6
0.7420399999999999,0.73798,0.97349,6
0.71505,0.7116399999999999,0.97426,6
0.68616,0.69294,0.97611,6
0.6575,0.6834600000000001,0.97887,6
0.63146,0.6832,0.98213,6
0.61029,0.69043,0.98535,6
0.59568,0.70213,0.9880700000000001,6
0.58824,0.71462,0.98995,6
0.58735,0.72435,0.9908600000000001,6
0.59133,0.72842,0.9908799999999999,6
0.5978899999999999,0.7248600000000001,0.99016,6
0.60459,0.71273,0.98888,6
0.60915,0.69209,0.98721,6
0.60973,0.66399,0.9853299999999999,6
0.6049399999999999,0.63039,0.98345,6
0.5939399999999999,0.59415,0.9819,6
0.57644,0.55887,0.98106,6
0.55974,0.53497,0.98131,6
0.5504,0.52609,0.9827899999999999,6
0.54588,0.52488,0.9848299999999999,6
0.5424399999999999,0.52742,0.9862799999999999,6
0.53868,0.5324,0.9868299999999999,6
0.5354300000000001,0.5394399999999999,0.98698,6
0.5344899999999999,0.54789,0.9873,6
0.5371199999999999,0.55648,0.98808,6
0.54302,0.56383,0.9891,6
0.55076,0.5689,0.98977,6
0.55875,0.57122,0.9897100000000001,6
0.5657300000000001,0.5707300000000001,0.9889399999999999,6
0.5707800000000001,0.5677,0.9877799999999999,6
0.57333,0.5626,0.98659,6
0.57308,0.5561,0.9856600000000001,6
0.57016,0.5491199999999999,0.98511,6
0.56509,0.54265,0.9849899999999999,6
0.55877,0.53769,0.9852700000000001,6
0.5522600000000001,0.53498,0.9858899999999999,6
0.5465899999999999,0.5349,0.9867799999999999,6
0.54259,0.5373100000000001,0.98782,6
0.54077,0.5416300000000001,0.98888,6
0.5412600000000001,0.54703,0.98987,6
0.5439,0.55261,0.9907,6
0.5482899999999999,0.55767,0.99134,6
0.55381,0.5616899999999999,0.9917799999999999,6
0.5597,0.56439,0.99205,6
0.56515,0.56565,0.9921700000000001,6
0.56944,0.56553,0.9921700000000001,6
0.57213,0.56419,0.9920899999999999,6
0.57309,0.56193,0.9919899999999999,6
0.57253,0.55917,0.9919,6
0.57099,0.55642,0.9918600000000001,6
0.56908,0.55416,0.99187,6
0.56742,0.55274,0.99193,6
0.56634,0.55223,0.9920100000000001,6
0.56583,0.55243,0.9920899999999999,6
0.5657800000000001,0.55309,0.9922,6
0.56604,0.55399,0.9923799999999999,6
0.5665100000000001,0.55494,0.99272,6
0.56708,0.55579,0.99321,6
0.5676899999999999,0.55647,0.9938299999999999,6
0.5682699999999999,0.557,0.9945299999999999,6
0.56876,0.55742,0.99526,6
0.5691,0.55777,0.9959600000000001,6
0.5692699999999999,0.55807,0.99656,6
0.56933,0.55829,0.9970399999999999,6
0.56938,0.5583899999999999,0.9973799999999999,6
0.56958,0.55837,0.99756,6
0.57006,0.5582699999999999,0.9976299999999999,6
0.57088,0.55815,0.9976,6
0.57201,0.55808,0.9975299999999999,6
0.57327,0.55807,0.9974700000000001,6
0.5744600000000001,0.55812,0.9975,6
0.57539,0.5581699999999999,0.9976700000000001,6
0.57593,0.5581699999999999,0.998,6
0.57608,0.55811,0.9985,6
0.57589,0.55805,0.99915,6
0.57548,0.55804,0.99989,6
0.57495,0.5581699999999999,1.0007,6
0.5744199999999999,0.5584600000000001,1.0014,6
0.57394,0.55891,1.0021,6
0.5735899999999999,0.55945,1.0027,6
0.57343,0.56002,1.003,6
0.57355,0.56052,1.0033,6
0.57399,0.56091,1.0034,6
0.57476,0.56117,1.0034,6
0.5757899999999999,0.5613199999999999,1.0034,6
0.57697,0.56139,1.0034,6
0.57814,0.5614,1.0035,6
0.57915,0.56137,1.0038,6
0.5799,0.5613100000000001,1.0042,6
0.58031,0.56126,1.0047,6
0.58039,0.56123,1.0054,6
0.58016,0.56128,1.0062,6
0.5796899999999999,0.56143,1.0070000000000001,6
0.57908,0.5617,1.0078,6
0.57843,0.5621,1.0085,6
0.57786,0.56262,1.0090000000000001,6
0.57749,0.5632199999999999,1.0095,6
0.5774100000000001,0.56385,1.0098,6
0.57768,0.56445,1.01,6
0.5783,0.56497,1.01,6
0.57922,0.56535,1.01,6
0.58033,0.56557,1.01,6
0.5815100000000001,0.56563,1.0101,6
0.58262,0.56555,1.0103,6
0.58353,0.56539,1.0107,6
0.58416,0.56518,1.0112,6
0.58445,0.565,1.0119,6
0.5844,0.5649,1.0127,6
0.58404,0.56493,1.0135,6
0.58344,0.56512,1.0143,6
0.58272,0.56548,1.0151,6
0.58201,0.56599,1.0157,6
0.58145,0.56663,1.0162,6
0.58115,0.56733,1.0166,6
0.5812,0.56803,1.0168,6
0.58163,0.56865,1.0169,6
0.58241,0.56913,1.0169,6
0.5834600000000001,0.56944,1.0169,6
0.58465,0.56957,1.0170000000000001,6
0.58585,0.5695399999999999,1.0172,6
0.58692,0.5694100000000001,1.0175,6
0.58775,0.56923,1.018,6
0.58829,0.56908,1.0186,6
0.58849,0.56901,1.0194,6
0.58837,0.56907,1.0203,6
0.588,0.56928,1.0211,6
0.58746,0.56965,1.0219,6
0.58685,0.57015,1.0226,6
0.58629,0.57072,1.0232,6
0.5859,0.5713199999999999,1.0236,6
0.5857600000000001,0.57187,1.0239,6
0.5859300000000001,0.57234,1.024,6
0.58639,0.57268,1.024,6
0.58712,0.5728800000000001,1.024,6
0.58804,0.57296,1.0241,6
0.58903,0.57295,1.0242,6
0.59001,0.5729,1.0245,6
0.59086,0.57287,1.025,6
0.59153,0.57292,1.0256,6
0.5919800000000001,0.57307,1.0264,6
0.59218,0.5733600000000001,1.0273,6
0.59217,0.57377,1.0282,6
0.5919800000000001,0.57428,1.0290000000000001,6
0.59168,0.57484,1.0298,6
0.59135,0.57539,1.0304,6
0.59105,0.57589,1.0309,6
0.5908800000000001,0.57629,1.0312,6
0.59087,0.57657,1.0314,6
0.59105,0.57673,1.0314,6
0.59143,0.57677,1.0314,6
0.59196,0.57673,1.0314,6
0.5926,0.5766600000000001,1.0315,6
0.5933,0.5766100000000001,1.0318,6
0.59399,0.5766399999999999,1.0322,6
0.59464,0.5767899999999999,1.0328,6
0.5952,0.57708,1.0335,6
0.59563,0.57752,1.0344,6
0.5959300000000001,0.57808,1.0353,6
0.5961,0.5787100000000001,1.0362,6
0.59615,0.5793699999999999,1.037,6
0.59611,0.57998,1.0377,6
0.59604,0.58049,1.0383,6
0.59597,0.58086,1.0387,6
0.5959399999999999,0.58108,1.0390000000000001,6
0.5959899999999999,0.58115,1.0391,6
0.59613,0.5811,1.0391,6
0.59636,0.58097,1.0391,6
0.59667,0.58082,1.0392,6
0.59707,0.5807100000000001,1.0393,6
0.59753,0.5807100000000001,1.0396,6
0.59804,0.5808399999999999,1.0401,6
0.59856,0.58114,1.0408,6
0.5990800000000001,0.5816,1.0416,6
0.59956,0.5822,1.0425,6
0.5999899999999999,0.5828899999999999,1.0434,6
0.60034,0.58362,1.0443,6
0.6006100000000001,0.5843,1.0451,6
0.6008,0.5848899999999999,1.0458,6
0.60093,0.58533,1.0464,6
0.601,0.5856,1.0467,6
0.60104,0.5856899999999999,1.0469,6
0.60107,0.58563,1.047,6
0.6011,0.5854600000000001,1.047,6
0.60117,0.58526,1.047,6
0.6013,0.58508,1.0471,6
0.6015199999999999,0.585,1.0473,6
0.6018399999999999,0.58506,1.0477,6
0.60225,0.5853,1.0482,6
0.60275,0.5857100000000001,1.0490000000000002,6
0.60331,0.58629,1.0498,6
0.60388,0.5869800000000001,1.0508,6
0.60443,0.58773,1.0517,6
0.60492,0.5884699999999999,1.0526,6
0.60533,0.58914,1.0534,6
0.60564,0.58968,1.054,6
0.60585,0.59004,1.0545,6
0.60596,0.59021,1.0548,6
0.6059899999999999,0.5902,1.055,6
0.606,0.5903,1.055,6
0.60835,0.59405,1.055,6
0.61839,0.60217,1.055,6
0.63963,0.61145,1.0548,6
0.67003,0.61861,1.0536,6
0.7033,0.6219600000000001,1.0511,6
0.73268,0.62115,1.0477,6
0.754,0.6169100000000001,1.0444,6
0.76648,0.61078,1.0424,6
0.7715,0.60477,1.0423,6
0.77099,0.60096,1.0438,6
0.76672,0.60144,1.0462,6
0.76044,0.60814,1.0486,6
0.7544,0.62262,1.0506,6
0.75145,0.64545,1.0521,6
0.75471,0.67578,1.0535,6
0.76651,0.71137,1.0547,6
0.7875300000000001,0.7492,1.0556,6
0.76547,0.76925,0.97372,9
0.7420399999999999,0.73798,0.97349,9
0.71505,0.7116399999999999,0.97426,9
0.68616,0.69294,0.97611,9
0.6575,0.6834600000000001,0.97887,9
0.63146,0.6832,0.98213,9
0.61029,0.69043,0.98535,9
0.59568,0.70213,0.9880700000000001,9
0.58824,0.71462,0.98995,9
0.58735,0.72435,0.9908600000000001,9
0.59133,0.72842,0.9908799999999999,9
0.5978899999999999,0.7248600000000001,0.99016,9
0.60459,0.71273,0.98888,9
0.60915,0.69209,0.98721,9
0.60973,0.66399,0.9853299999999999,9
0.6049399999999999,0.63039,0.98345,9
0.5939399999999999,0.59415,0.9819,9
0.57644,0.55887,0.98106,9
0.55974,0.53497,0.98131,9
0.5504,0.52609,0.9827899999999999,9
0.54588,0.52488,0.9848299999999999,9
0.5424399999999999,0.52742,0.9862799999999999,9
0.53868,0.5324,0.9868299999999999,9
0.5354300000000001,0.5394399999999999,0.98698,9
0.5344899999999999,0.54789,0.9873,9
0.5371199999999999,0.55648,0.98808,9
0.54302,0.56383,0.9891,9
0.55076,0.5689,0.98977,9
0.55875,0.57122,0.9897100000000001,9
0.5657300000000001,0.5707300000000001,0.9889399999999999,9
0.5707800000000001,0.5677,0.9877799999999999,9
0.57333,0.5626,0.98659,9
0.57308,0.5561,0.9856600000000001,9
0.57016,0.5491199999999999,0.98511,9
0.56509,0.54265,0.9849899999999999,9
0.55877,0.53769,0.9852700000000001,9
0.5522600000000001,0.53498,0.9858899999999999,9
0.5465899999999999,0.5349,0.9867799999999999,9
0.54259,0.5373100000000001,0.98782,9
0.54077,0.5416300000000001,0.98888,9
0.5412600000000001,0.54703,0.98987,9
0.5439,0.55261,0.9907,9
0.5482899999999999,0.55767,0.99134,9
0.55381,0.5616899999999999,0.9917799999999999,9
0.5597,0.56439,0.99205,9
0.56515,0.56565,0.9921700000000001,9
0.56944,0.56553,0.9921700000000001,9
0.57213,0.56419,0.9920899999999999,9
0.57309,0.56193,0.9919899999999999,9
0.57253,0.55917,0.9919,9
0.57099,0.55642,0.9918600000000001,9
0.56908,0.55416,0.99187,9
0.56742,0.55274,0.99193,9
0.56634,0.55223,0.9920100000000001,9
0.56583,0.55243,0.9920899999999999,9
0.5657800000000001,0.55309,0.9922,9
0.56604,0.55399,0.9923799999999999,9
0.5665100000000001,0.55494,0.99272,9
0.56708,0.55579,0.99321,9
0.5676899999999999,0.55647,0.9938299999999999,9
0.5682699999999999,0.557,0.9945299999999999,9
0.56876,0.55742,0.99526,9
0.5691,0.55777,0.9959600000000001,9
0.5692699999999999,0.55807,0.99656,9
0.56933,0.55829,0.9970399999999999,9
0.56938,0.5583899999999999,0.9973799999999999,9
0.56958,0.55837,0.99756,9
0.57006,0.5582699999999999,0.9976299999999999,9
0.57088,0.55815,0.9976,9
0.57201,0.55808,0.9975299999999999,9
0.57327,0.55807,0.9974700000000001,9
0.5744600000000001,0.55812,0.9975,9
0.57539,0.5581699999999999,0.9976700000000001,9
0.57593,0.5581699999999999,0.998,9
0.57608,0.55811,0.9985,9
0.57589,0.55805,0.99915,9
0.57548,0.55804,0.99989,9
0.57495,0.5581699999999999,1.0007,9
0.5744199999999999,0.5584600000000001,1.0014,9
0.57394,0.55891,1.0021,9
0.5735899999999999,0.55945,1.0027,9
0.57343,0.56002,1.003,9
0.57355,0.56052,1.0033,9
0.57399,0.56091,1.0034,9
0.57476,0.56117,1.0034,9
0.5757899999999999,0.5613199999999999,1.0034,9
0.57697,0.56139,1.0034,9
0.57814,0.5614,1.0035,9
0.57915,0.56137,1.0038,9
0.5799,0.5613100000000001,1.0042,9
0.58031,0.56126,1.0047,9
0.58039,0.56123,1.0054,9
0.58016,0.56128,1.0062,9
0.5796899999999999,0.56143,1.0070000000000001,9
0.57908,0.5617,1.0078,9
0.57843,0.5621,1.0085,9
0.57786,0.56262,1.0090000000000001,9
0.57749,0.5632199999999999,1.0095,9
0.5774100000000001,0.56385,1.0098,9
0.57768,0.56445,1.01,9
0.5783,0.56497,1.01,9
0.57922,0.56535,1.01,9
0.58033,0.56557,1.01,9
0.5815100000000001,0.56563,1.0101,9
0.58262,0.56555,1.0103,9
0.58353,0.56539,1.0107,9
0.58416,0.56518,1.0112,9
0.58445,0.565,1.0119,9
0.5844,0.5649,1.0127,9
0.58404,0.56493,1.0135,9
0.58344,0.56512,1.0143,9
0.58272,0.56548,1.0151,9
0.58201,0.56599,1.0157,9
0.58145,0.56663,1.0162,9
0.58115,0.56733,1.0166,9
0.5812,0.56803,1.0168,9
0.58163,0.56865,1.0169,9
0.58241,0.56913,1.0169,9
0.5834600000000001,0.56944,1.0169,9
0.58465,0.56957,1.0170000000000001,9
0.58585,0.5695399999999999,1.0172,9
0.58692,0.5694100000000001,1.0175,9
0.58775,0.56923,1.018,9
0.58829,0.56908,1.0186,9
0.58849,0.56901,1.0194,9
0.58837,0.56907,1.0203,9
0.588,0.56928,1.0211,9
0.58746,0.56965,1.0219,9
0.58685,0.57015,1.0226,9
0.58629,0.57072,1.0232,9
0.5859,0.5713199999999999,1.0236,9
0.5857600000000001,0.57187,1.0239,9
0.5859300000000001,0.57234,1.024,9
0.58639,0.57268,1.024,9
0.58712,0.5728800000000001,1.024,9
0.58804,0.57296,1.0241,9
0.58903,0.57295,1.0242,9
0.59001,0.5729,1.0245,9
0.59086,0.57287,1.025,9
0.59153,0.57292,1.0256,9
0.5919800000000001,0.57307,1.0264,9
0.59218,0.5733600000000001,1.0273,9
0.59217,0.57377,1.0282,9
0.5919800000000001,0.57428,1.0290000000000001,9
0.59168,0.57484,1.0298,9
0.59135,0.57539,1.0304,9
0.59105,0.57589,1.0309,9
0.5908800000000001,0.57629,1.0312,9
0.59087,0.57657,1.0314,9
0.59105,0.57673,1.0314,9
0.59143,0.57677,1.0314,9
0.59196,0.57673,1.0314,9
0.5926,0.5766600000000001,1.0315,9
0.5933,0.5766100000000001,1.0318,9
0.59399,0.5766399999999999,1.0322,9
0.59464,0.5767899999999999,1.0328,9
0.5952,0.57708,1.0335,9
0.59563,0.57752,1.0344,9
0.5959300000000001,0.57808,1.0353,9
0.5961,0.5787100000000001,1.0362,9
0.59615,0.5793699999999999,1.037,9
0.59611,0.57998,1.0377,9
0.59604,0.58049,1.0383,9
0.59597,0.58086,1.0387,9
0.5959399999999999,0.58108,1.0390000000000001,9
0.5959899999999999,0.58115,1.0391,9
0.59613,0.5811,1.0391,9
0.59636,0.58097,1.0391,9
0.59667,0.58082,1.0392,9
0.59707,0.5807100000000001,1.0393,9
0.59753,0.5807100000000001,1.0396,9
0.59804,0.5808399999999999,1.0401,9
0.59856,0.58114,1.0408,9
0.5990800000000001,0.5816,1.0416,9
0.59956,0.5822,1.0425,9
0.5999899999999999,0.5828899999999999,1.0434,9
0.60034,0.58362,1.0443,9
0.6006100000000001,0.5843,1.0451,9
0.6008,0.5848899999999999,1.0458,9
0.60093,0.58533,1.0464,9
0.601,0.5856,1.0467,9
0.60104,0.5856899999999999,1.0469,9
0.60107,0.58563,1.047,9
0.6011,0.5854600000000001,1.047,9
0.60117,0.58526,1.047,9
0.6013,0.58508,1.0471,9
0.6015199999999999,0.585,1.0473,9
0.6018399999999999,0.58506,1.0477,9
0.60225,0.5853,1.0482,9
0.60275,0.5857100000000001,1.0490000000000002,9
0.60331,0.58629,1.0498,9
0.60388,0.5869800000000001,1.0508,9
0.60443,0.58773,1.0517,9
0.60492,0.5884699999999999,1.0526,9
0.60533,0.58914,1.0534,9
0.60564,0.58968,1.054,9
0.60585,0.59004,1.0545,9
0.60596,0.59021,1.0548,9
0.6059899999999999,0.5902,1.055,9
0.606,0.5903,1.055,9
0.60835,0.59405,1.055,9
0.61839,0.60217,1.055,9
0.63963,0.61145,1.0548,9
0.67003,0.61861,1.0536,9
0.7033,0.6219600000000001,1.0511,9
0.73268,0.62115,1.0477,9
0.754,0.6169100000000001,1.0444,9
0.76648,0.61078,1.0424,9
0.7715,0.60477,1.0423,9
0.77099,0.60096,1.0438,9
0.76672,0.60144,1.0462,9
0.76044,0.60814,1.0486,9
0.7544,0.62262,1.0506,9
0.75145,0.64545,1.0521,9
0.75471,0.67578,1.0535,9
0.76651,0.71137,1.0547,9
0.7875300000000001,0.7492,1.0556,9
0.76547,0.76925,0.97372,2
0.7420399999999999,0.73798,0.97349,2
0.71505,0.7116399999999999,0.97426,2
0.68616,0.69294,0.97611,2
0.6575,0.6834600000000001,0.97887,2
0.63146,0.6832,0.98213,2
0.61029,0.69043,0.98535,2
0.59568,0.70213,0.9880700000000001,2
0.58824,0.71462,0.98995,2
0.58735,0.72435,0.9908600000000001,2
0.59133,0.72842,0.9908799999999999,2
0.5978899999999999,0.7248600000000001,0.99016,2
0.60459,0.71273,0.98888,2
0.60915,0.69209,0.98721,2
0.60973,0.66399,0.9853299999999999,2
0.6049399999999999,0.63039,0.98345,2
0.5939399999999999,0.59415,0.9819,2
0.57644,0.55887,0.98106,2
0.55974,0.53497,0.98131,2
0.5504,0.52609,0.9827899999999999,2
0.54588,0.52488,0.9848299999999999,2
0.5424399999999999,0.52742,0.9862799999999999,2
0.53868,0.5324,0.9868299999999999,2
0.5354300000000001,0.5394399999999999,0.98698,2
0.5344899999999999,0.54789,0.9873,2
0.5371199999999999,0.55648,0.98808,2
0.54302,0.56383,0.9891,2
0.55076,0.5689,0.98977,2
0.55875,0.57122,0.9897100000000001,2
0.5657300000000001,0.5707300000000001,0.9889399999999999,2
0.5707800000000001,0.5677,0.9877799999999999,2
0.57333,0.5626,0.98659,2
0.57308,0.5561,0.9856600000000001,2
0.57016,0.5491199999999999,0.98511,2
0.56509,0.54265,0.9849899999999999,2
0.55877,0.53769,0.9852700000000001,2
0.5522600000000001,0.53498,0.9858899999999999,2
0.5465899999999999,0.5349,0.9867799999999999,2
0.54259,0.5373100000000001,0.98782,2
0.54077,0.5416300000000001,0.98888,2
0.5412600000000001,0.54703,0.98987,2
0.5439,0.55261,0.9907,2
0.5482899999999999,0.55767,0.99134,2
0.55381,0.5616899999999999,0.9917799999999999,2
0.5597,0.56439,0.99205,2
0.56515,0.56565,0.9921700000000001,2
0.56944,0.56553,0.9921700000000001,2
0.57213,0.56419,0.9920899999999999,2
0.57309,0.56193,0.9919899999999999,2
0.57253,0.55917,0.9919,2
0.57099,0.55642,0.9918600000000001,2
0.56908,0.55416,0.99187,2
0.56742,0.55274,0.99193,2
0.56634,0.55223,0.9920100000000001,2
0.56583,0.55243,0.9920899999999999,2
0.5657800000000001,0.55309,0.9922,2
0.56604,0.55399,0.9923799999999999,2
0.5665100000000001,0.55494,0.99272,2
0.56708,0.55579,0.99321,2
0.5676899999999999,0.55647,0.9938299999999999,2
0.5682699999999999,0.557,0.9945299999999999,2
0.56876,0.55742,0.99526,2
0.5691,0.55777,0.9959600000000001,2
0.5692699999999999,0.55807,0.99656,2
0.56933,0.55829,0.9970399999999999,2
0.56938,0.5583899999999999,0.9973799999999999,2
0.56958,0.55837,0.99756,2
0.57006,0.5582699999999999,0.9976299999999999,2
0.57088,0.55815,0.9976,2
0.57201,0.55808,0.9975299999999999,2
0.57327,0.55807,0.9974700000000001,2
0.5744600000000001,0.55812,0.9975,2
0.57539,0.5581699999999999,0.9976700000000001,2
0.57593,0.5581699999999999,0.998,2
0.57608,0.55811,0.9985,2
0.57589,0.55805,0.99915,2
0.57548,0.55804,0.99989,2
0.57495,0.5581699999999999,1.0007,2
0.5744199999999999,0.5584600000000001,1.0014,2
0.57394,0.55891,1.0021,2
0.5735899999999999,0.55945,1.0027,2
0.57343,0.56002,1.003,2
0.57355,0.56052,1.0033,2
0.57399,0.56091,1.0034,2
0.57476,0.56117,1.0034,2
0.5757899999999999,0.5613199999999999,1.0034,2
0.57697,0.56139,1.0034,2
0.57814,0.5614,1.0035,2
0.57915,0.56137,1.0038,2
0.5799,0.5613100000000001,1.0042,2
0.58031,0.56126,1.0047,2
0.58039,0.56123,1.0054,2
0.58016,0.56128,1.0062,2
0.5796899999999999,0.56143,1.0070000000000001,2
0.57908,0.5617,1.0078,2
0.57843,0.5621,1.0085,2
0.57786,0.56262,1.0090000000000001,2
0.57749,0.5632199999999999,1.0095,2
0.5774100000000001,0.56385,1.0098,2
0.57768,0.56445,1.01,2
0.5783,0.56497,1.01,2
0.57922,0.56535,1.01,2
